Date,Stock,Num_Clients,Sum_Pct
2026-04-01,ABCAPITAL,1,4.26
2026-04-01,ADANIENSOL,9,44.16
2026-04-01,ADANIENT,2,14.92
2026-04-01,ADANIGREEN,3,16.69
2026-04-01,ALKEM,1,6.16
2026-04-01,AMBUJACEM,9,49.24
2026-04-01,APLAPOLLO,1,3.35
2026-04-01,ASHOKLEY,1,3.47
2026-04-01,AUROPHARMA,10,46.35
2026-04-01,AXISBANK,1,3.94
2026-04-01,BAJAJFINSV,1,3.62
2026-04-01,BANDHANBNK,6,31.02
2026-04-01,BANKBARODA,2,10.3
2026-04-01,BHEL,5,29.88
2026-04-01,BIOCON,1,3.1
2026-04-01,BOSCHLTD,2,10.7
2026-04-01,BRITANNIA,1,3.33
2026-04-01,CANBK,1,4.78
2026-04-01,CHOLAFIN,2,14.1
2026-04-01,COFORGE,1,4.35
2026-04-01,CONCOR,6,26.52
2026-04-01,CROMPTON,4,19.47
2026-04-01,DABUR,4,19.86
2026-04-01,DALBHARAT,1,3.51
2026-04-01,DELHIVERY,1,5.81
2026-04-01,DIVISLAB,1,3.15
2026-04-01,DLF,5,22.24
2026-04-01,EXIDEIND,5,25.54
2026-04-01,FORTIS,1,4.6
2026-04-01,GAIL,1,3.23
2026-04-01,GLENMARK,10,52.51
2026-04-01,GMRAIRPORT,2,9.23
2026-04-01,GODREJCP,1,6.33
2026-04-01,GODREJPROP,2,7.47
2026-04-01,GRASIM,2,9.6
2026-04-01,HAL,1,4.61
2026-04-01,HDFCBANK,1,3.46
2026-04-01,HDFCLIFE,1,5.19
2026-04-01,HINDZINC,1,5.48
2026-04-01,HUDCO,1,3.08
2026-04-01,ICICIGI,1,3.35
2026-04-01,ICICIPRULI,3,12.64
2026-04-01,IDEA,6,31.48
2026-04-01,IEX,5,24.92
2026-04-01,INDHOTEL,1,3.11
2026-04-01,INDUSTOWER,3,11.79
2026-04-01,INOXWIND,5,28.91
2026-04-01,JIOFIN,3,13.45
2026-04-01,JSWENERGY,3,13.93
2026-04-01,JSWSTEEL,5,20.87
2026-04-01,JUBLFOOD,2,7.04
2026-04-01,KALYANKJIL,1,4.88
2026-04-01,KAYNES,1,6.41
2026-04-01,KOTAKBANK,1,3.99
2026-04-01,KPITTECH,1,3.12
2026-04-01,LAURUSLABS,3,10.55
2026-04-01,LICHSGFIN,10,51.74
2026-04-01,LODHA,6,39.52
2026-04-01,LUPIN,1,4.85
2026-04-01,MANAPPURAM,8,38.76
2026-04-01,MARICO,2,6.81
2026-04-01,MARUTI,1,3.24
2026-04-01,MCX,2,8.99
2026-04-01,MFSL,4,20.28
2026-04-01,MOTHERSON,1,4.97
2026-04-01,NATIONALUM,1,3.49
2026-04-01,NBCC,5,23.23
2026-04-01,NESTLEIND,1,3.17
2026-04-01,NMDC,5,34.8
2026-04-01,NYKAA,2,7.39
2026-04-01,OBEROIRLTY,4,18.87
2026-04-01,OFSS,3,15.43
2026-04-01,PATANJALI,9,39.78
2026-04-01,PFC,1,5.21
2026-04-01,PGEL,1,4.01
2026-04-01,PHOENIXLTD,2,7.5
2026-04-01,PIIND,1,4.09
2026-04-01,PNB,3,12.23
2026-04-01,PNBHOUSING,3,11.13
2026-04-01,PREMIERENE,2,8.88
2026-04-01,PRESTIGE,1,6.65
2026-04-01,RBLBANK,10,37.88
2026-04-01,RECLTD,3,15.21
2026-04-01,SAIL,13,88.51
2026-04-01,SAMMAANCAP,13,71.76
2026-04-01,SBICARD,2,11.9
2026-04-01,SBILIFE,1,6.02
2026-04-01,SHRIRAMFIN,1,4.19
2026-04-01,TATACONSUM,1,4.87
2026-04-01,TATAPOWER,1,4.54
2026-04-01,TATATECH,1,4.88
2026-04-01,TVSMOTOR,1,5.86
2026-04-01,ULTRACEMCO,1,3.02
2026-04-01,UPL,2,8.59
2026-04-01,VBL,1,3.98
2026-04-01,VEDL,1,3.59
2026-04-01,VOLTAS,1,3.3
2026-04-01,WAAREEENER,1,4.93
2026-04-01,YESBANK,1,3.12
2026-04-01,ZYDUSLIFE,3,10.51
2026-02-01,ABCAPITAL,6,33.76
2026-02-01,ADANIENSOL,7,31.07
2026-02-01,ADANIENT,2,8.78
2026-02-01,ADANIGREEN,1,3.58
2026-02-01,ALKEM,1,4.93
2026-02-01,AMBER,1,6.86
2026-02-01,AMBUJACEM,7,32.53
2026-02-01,APLAPOLLO,8,32.8
2026-02-01,APOLLOHOSP,2,10.42
2026-02-01,ASHOKLEY,2,7.42
2026-02-01,ASIANPAINT,1,3.54
2026-02-01,AUBANK,1,3.73
2026-02-01,AUROPHARMA,9,40.68
2026-02-01,BAJAJFINSV,2,6.97
2026-02-01,BAJFINANCE,1,4.31
2026-02-01,BANDHANBNK,9,48.94
2026-02-01,BANKBARODA,1,7.04
2026-02-01,BANKINDIA,3,13.29
2026-02-01,BDL,1,3.1
2026-02-01,BHEL,3,12.0
2026-02-01,BIOCON,3,11.14
2026-02-01,BOSCHLTD,1,3.4
2026-02-01,BPCL,1,3.85
2026-02-01,BRITANNIA,1,3.55
2026-02-01,CHOLAFIN,2,10.0
2026-02-01,CONCOR,10,48.03
2026-02-01,CROMPTON,8,37.98
2026-02-01,DABUR,2,9.14
2026-02-01,DALBHARAT,2,11.25
2026-02-01,DELHIVERY,1,7.32
2026-02-01,DIVISLAB,1,4.56
2026-02-01,DIXON,2,7.09
2026-02-01,DLF,7,30.39
2026-02-01,EICHERMOT,1,3.33
2026-02-01,EXIDEIND,3,13.29
2026-02-01,FORTIS,1,3.08
2026-02-01,GAIL,1,6.13
2026-02-01,GLENMARK,7,32.27
2026-02-01,GMRAIRPORT,2,10.52
2026-02-01,GODREJPROP,11,53.44
2026-02-01,GRASIM,2,12.71
2026-02-01,HAL,2,8.04
2026-02-01,HAVELLS,1,5.67
2026-02-01,HDFCAMC,1,3.3
2026-02-01,HDFCBANK,1,3.33
2026-02-01,HUDCO,2,7.53
2026-02-01,ICICIGI,1,7.66
2026-02-01,ICICIPRULI,1,3.58
2026-02-01,IDEA,6,31.68
2026-02-01,IEX,3,13.21
2026-02-01,INDIGO,1,4.23
2026-02-01,INDUSINDBK,1,4.14
2026-02-01,INDUSTOWER,4,20.48
2026-02-01,INOXWIND,5,26.02
2026-02-01,IRCTC,2,8.55
2026-02-01,ITC,1,3.24
2026-02-01,JIOFIN,6,28.45
2026-02-01,JSWENERGY,6,27.42
2026-02-01,JSWSTEEL,5,22.09
2026-02-01,JUBLFOOD,1,3.88
2026-02-01,KALYANKJIL,3,11.14
2026-02-01,KAYNES,4,24.23
2026-02-01,KOTAKBANK,1,3.89
2026-02-01,LAURUSLABS,2,9.33
2026-02-01,LICHSGFIN,7,29.48
2026-02-01,LICI,1,3.82
2026-02-01,LODHA,2,7.66
2026-02-01,LUPIN,1,5.02
2026-02-01,MANAPPURAM,4,17.55
2026-02-01,MARICO,5,19.64
2026-02-01,MAZDOCK,2,6.57
2026-02-01,MCX,1,4.8
2026-02-01,MFSL,3,14.5
2026-02-01,MOTHERSON,1,4.51
2026-02-01,MPHASIS,2,6.88
2026-02-01,MUTHOOTFIN,1,5.47
2026-02-01,NATIONALUM,1,3.01
2026-02-01,NBCC,6,24.05
2026-02-01,NHPC,2,6.66
2026-02-01,NMDC,7,42.99
2026-02-01,NUVAMA,1,3.02
2026-02-01,NYKAA,1,3.01
2026-02-01,OBEROIRLTY,1,5.1
2026-02-01,OFSS,2,9.88
2026-02-01,PATANJALI,10,50.48
2026-02-01,PETRONET,4,15.55
2026-02-01,PFC,1,4.79
2026-02-01,PGEL,2,8.52
2026-02-01,PHOENIXLTD,3,12.38
2026-02-01,PNB,2,7.66
2026-02-01,PNBHOUSING,4,15.76
2026-02-01,POLYCAB,2,10.7
2026-02-01,POWERGRID,1,4.29
2026-02-01,PREMIERENE,1,3.09
2026-02-01,RBLBANK,13,50.82
2026-02-01,RECLTD,2,11.48
2026-02-01,RVNL,1,5.37
2026-02-01,SAIL,14,88.97
2026-02-01,SAMMAANCAP,13,78.57
2026-02-01,SBICARD,1,4.6
2026-02-01,SBILIFE,1,4.45
2026-02-01,SHRIRAMFIN,1,3.47
2026-02-01,SOLARINDS,2,6.71
2026-02-01,SUNPHARMA,1,4.38
2026-02-01,SYNGENE,1,3.68
2026-02-01,TATAELXSI,1,5.35
2026-02-01,TATAPOWER,1,3.05
2026-02-01,TATASTEEL,1,4.77
2026-02-01,TIINDIA,1,6.0
2026-02-01,TRENT,1,3.33
2026-02-01,TVSMOTOR,2,11.56
